date,answers,genius,genius_words,maximum_points
9/29,43,146,NULL,209
9/30,41,120,15-37,172
10/1,25,75,11-22,107
10/2,23,94,11-20,134
<<<<<<< Updated upstream
10/4,45,137,20-39,195
=======
10/4,35,102,15-30,146
10/7,44,120,19-38,171
>>>>>>> Stashed changes
